Nomenclature ISTEX	étiquette en	étiquette fr	définition eng NLM	définition eng	définition fr	url mods	balise mods	attribut	Commentaires	Note supplémentaire	exemples
research-article	research article	papier de recherche	Article reporting on primary research (The related value “review-article” describes a literature review, research summary, or state-of-the-art article.)	Primary source. Article reporting on primary research (The related value “review-article” describes a literature review, research summary, or state-of-the-art article.)	Il s’agit d’une source primaire. L’article rapporte les résultats de travaux de recherche originaux. Un article de recherche est composé d’un titre, résumé, introduction, méthodologie, résultats, discussion and références.	https://www.loc.gov/standards/mods/userguide/genre.html	<genre>	@type	Le type 'research-article' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. 	Cette catégorisation émane du type d'article original fourni par l'éditeur. Attention, rien ne vaut la lecture d'un article  pour en mesurer le contenu et la qualité ! 	original paper,  research, categtxt
review-article	review article	article de synthèse	Review or state-of-the-art summary article (The related value “research-article” describes original research.)	Secondary source. Review or state-of-the-art summary article (The related value “research-article” describes original research.)	Il s’agit d’une source secondaire. L’article passe en revue des sources primaires, il se base sur des articles déjà publiés et discute des expériences. I constitue ainsi une analyse, une synthèse.	https://www.loc.gov/standards/mods/userguide/genre.html	<genre>	@type	Le type 'review-article' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. 	Cette catégorisation émane du type d'article original fourni par l'éditeur. Attention, rien ne vaut la lecture d'un article  pour en mesurer le contenu et la qualité ! 	review, article-commentary, review paper
article	article	article	This element can be used to describe journal articles (research articles or review articles)	It is impossible to identify whether it is a primary or secondary article.	Il est impossible d’identifier s’il s’agit d’un article primaire ou secondaire. 	https://www.loc.gov/standards/mods/userguide/genre.html	<genre>	@type	Le type 'article' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. 	Cette catégorisation émane du type d'article original fourni par l'éditeur. Attention, rien ne vaut la lecture d'un article  pour en mesurer le contenu et la qualité ! 	regular features, highlights, essay
case-report	case report	étude de cas	Case study, case report, or other description of a case 	Case study, case report, or other description of a case	Eude de cas, rapport de cas	https://www.loc.gov/standards/mods/userguide/genre.html	<genre>	@type	Le type 'case-report' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. 	Cette catégorisation émane du type d'article original fourni par l'éditeur. Attention, rien ne vaut la lecture d'un article  pour en mesurer le contenu et la qualité ! 	case study
brief-communication	brief communication	courte communication	A short and/or rapid announcement of research results	Short and rapid communication of research results	Courte et rapide communication sur des résultats de recherche	https://www.loc.gov/standards/mods/userguide/genre.html	<genre>	@type	Le type 'brief-communication' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. 	Cette catégorisation émane du type d'article original fourni par l'éditeur. Attention, rien ne vaut la lecture d'un article  pour en mesurer le contenu et la qualité ! 	rapid-communication, short communication, short-report
abstract	abstract	résumé	The article itself is an abstract (of a paper or presentation) that usually has been presented or published separately.	The article itself is an abstract (of a paper or presentation) that usually has been presented or published separately.	Résumé d’un papier ou d’une présentation qui a été présentée ou publiée séparément.	https://www.loc.gov/standards/mods/userguide/genre.html	<genre>	@type			abstract
editorial	editorial	éditorial	Opinion piece, policy statement, or general commentary, typically written by staff of the publication (The similar value “article-commentary” is reserved for a commentary on a specific article or articles, which is written by an author with a contrasting position, not an editor or other publication staff.)	Opinion piece, policy statement, or general commentary, typically written by staff of the publication (The similar value “article-commentary” is reserved for a commentary on a specific article or articles, which is written by an author with a contrasting position, not an editor or other publication staff.)	Opinion, commentaire général écrit par les éditeurs de la publication	https://www.loc.gov/standards/mods/userguide/genre.html	<genre>	@type			editorial, opinion
book-reviews	book-review	monographie	Review or analysis of one or more printed or online books (The similar value “product-review” is used for product analyses.)	Review or analysis of one or more printed or online books (The similar value “product-review” is used for product analyses.)	Revue ou analyse d’un ou plusieurs livres imprimés ou électroniques	https://www.loc.gov/standards/mods/userguide/genre.html	<genre>	@type			book-reviews
conference	conference	congrès	Report of a conference, symposium, or meeting	Report of a conference, symposium, or meeting	Rapport d'une conférence, symposium et réunion	https://www.loc.gov/standards/mods/userguide/genre.html	<genre>	@type	Le type 'conference' regroupe différents intitulés qui varient selon l'éditeur, la discipline, voire la revue. 	Cette catégorisation émane du type d'article original fourni par l'éditeur. Attention, rien ne vaut la lecture d'un article  pour en mesurer le contenu et la qualité ! 	meeting-report (BMJ + deGruyter), Conference
other	other	autre	If the article is not one of the listed types or the type of article cannot be determined, the “other” attribute value may be used.	If the article is not one of the listed types or the type of article cannot be determined, the “other” attribute value may be used.	Si l'article ne figure pas dans la liste des types ou que l'article ne peut pas être défini, la valeur 'autre' est utilisée.	https://www.loc.gov/standards/mods/userguide/genre.html	<genre>	@type	Le type 'other' regroupe tous les autres types de contenus. 	Cette catégorisation regroupe tous les autres contenus. Attention, rien ne vaut la lecture d'un article  pour en mesurer le contenu et la qualité ! 	obituary, announcement, content, interview, correspondence, index, calendar, appendix, bibliography, …
